City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Xiamen,CN,2021-03-01 23:02:45,24.4798,118.0819,66.2,77,90,15.66
95,Jining,CN,2021-03-01 23:02:45,35.405,116.5814,30.67,93,0,4.09
96,Batemans Bay,AU,2021-03-01 23:00:18,-35.7167,150.1833,64.0,44,98,3.0
97,Ahipara,NZ,2021-03-01 23:02:46,-35.1667,173.1667,72.91,72,6,8.55
98,Fonte Boa,BR,2021-03-01 23:02:46,-2.4959,-66.2662,74.98,98,33,1.63
99,Timra,SE,2021-03-01 23:02:46,62.487,17.3257,39.2,75,65,9.22
100,Talcahuano,CL,2021-03-01 23:02:46,-36.7167,-73.1167,67.32,69,50,13.31
101,Talnakh,RU,2021-03-01 23:02:46,69.4865,88.3972,-31.49,84,1,8.59
102,Nikolskoye,RU,2021-03-01 23:02:47,59.7035,30.7861,39.2,70,0,11.18
103,Williston,US,2021-03-01 23:01:28,48.147,-103.618,54.0,28,1,12.66
104,Cabra,ES,2021-03-01 23:02:47,37.4725,-4.4421,55.0,73,90,2.68
105,Kodiak,US,2021-03-01 23:02:48,57.79,-152.4072,39.2,60,75,18.41
106,Mount Gambier,AU,2021-03-01 23:02:48,-37.8333,140.7667,55.4,67,90,10.36
107,Gbarnga,LR,2021-03-01 23:02:48,6.9956,-9.4722,72.55,88,7,2.24
108,Labytnangi,RU,2021-03-01 23:02:48,66.6572,66.4183,1.35,93,100,10.83
109,Margate,GB,2021-03-01 23:00:52,51.3813,1.3862,42.01,84,0,10.85
110,Santa Barbara,US,2021-03-01 23:00:56,34.7333,-120.0343,68.0,13,1,11.5
111,Sur,OM,2021-03-01 23:02:49,22.5667,59.5289,71.46,60,0,7.63
112,East London,ZA,2021-03-01 23:02:50,-33.0153,27.9116,72.41,76,0,20.98
113,Coahuayana,MX,2021-03-01 23:02:50,18.7333,-103.6833,82.4,57,1,13.8
114,Butaritari,KI,2021-03-01 23:02:50,3.0707,172.7902,80.69,80,99,16.28
115,Port Elizabeth,ZA,2021-03-01 23:02:51,-33.918,25.5701,68.0,88,20,9.22
116,Mount Isa,AU,2021-03-01 23:02:51,-20.7333,139.5,87.8,42,63,1.14
117,Dingle,PH,2021-03-01 23:02:51,10.9995,122.6711,77.02,88,72,6.69
118,Herat,AF,2021-03-01 23:02:52,34.5,62.0,51.87,47,100,7.4
119,Sivas,TR,2021-03-01 23:02:52,39.7916,37.0019,17.6,86,0,4.61
120,Rundu,NA,2021-03-01 23:02:52,-17.9333,19.7667,62.65,91,51,5.55
121,Hilo,US,2021-03-01 23:00:44,19.7297,-155.09,77.0,65,75,16.11
122,Avarua,CK,2021-03-01 23:02:53,-21.2078,-159.775,82.4,74,20,9.22
123,Fort Nelson,CA,2021-03-01 23:02:53,58.8053,-122.7002,-2.2,71,75,4.61
124,Vanavara,RU,2021-03-01 23:02:53,60.34,102.2797,-29.49,85,94,4.03
125,Samarai,PG,2021-03-01 23:02:53,-10.6167,150.6667,83.16,75,99,9.53
126,Carahue,CL,2021-03-01 23:02:53,-38.7,-73.1667,77.0,61,0,10.36
127,Haapiti,PF,2021-03-01 23:02:54,-17.5667,-149.8667,86.0,74,20,5.75
128,Apomu,NG,2021-03-01 23:02:16,7.3333,4.1833,76.46,86,25,4.03
129,Port Alfred,ZA,2021-03-01 23:02:54,-33.5906,26.891,71.33,84,66,11.72
130,Saldanha,ZA,2021-03-01 23:02:54,-33.0117,17.9442,62.6,94,0,8.05
131,Makasar,ID,2021-03-01 23:02:55,-5.14,119.4221,73.4,100,20,3.44
132,Namibe,AO,2021-03-01 23:02:55,-15.1961,12.1522,73.69,72,45,7.23
133,Touros,BR,2021-03-01 23:02:55,-5.1989,-35.4608,75.2,94,75,3.44
134,Miri,MY,2021-03-01 23:02:56,4.4148,114.0089,77.0,100,40,4.09
135,Puerto Ayora,EC,2021-03-01 23:02:56,-0.7393,-90.3518,86.0,66,40,6.91
136,Garh Maharaja,PK,2021-03-01 23:02:56,30.8339,71.9053,56.95,33,0,3.47
137,The Valley,AI,2021-03-01 23:02:37,18.217,-63.0578,77.0,61,40,11.5
138,Anloga,GH,2021-03-01 23:02:57,5.7947,0.8973,84.2,84,20,10.36
139,Bethel,US,2021-03-01 23:02:57,41.3712,-73.414,39.2,41,1,11.5
140,Longyearbyen,SJ,2021-03-01 23:02:57,78.2186,15.6401,21.2,68,75,3.44
141,Souillac,MU,2021-03-01 23:01:03,-20.5167,57.5167,78.8,78,40,8.05
142,Shingu,JP,2021-03-01 23:00:55,33.7333,135.9833,62.6,94,75,20.71
143,Esperance,AU,2021-03-01 23:02:57,-33.8667,121.9,60.8,94,98,12.66
144,Zomin,UZ,2021-03-01 23:02:58,39.9606,68.3958,44.91,53,100,2.53
145,Seddon,AU,2021-03-01 23:02:58,-37.8068,144.8916,60.01,58,90,10.36
146,Mandalgovi,MN,2021-03-01 23:02:58,45.7625,106.2708,16.9,74,0,11.56
147,Axim,GH,2021-03-01 23:02:59,4.8699,-2.2405,79.32,87,21,6.55
148,Ribeira Grande,PT,2021-03-01 23:02:59,38.5167,-28.7,57.36,60,87,11.32
149,Laguna,US,2021-03-01 23:02:59,38.421,-121.4238,70.0,21,1,2.51
150,Cherskiy,RU,2021-03-01 23:03:00,68.75,161.3,-27.45,85,15,5.41
151,Belozerskoye,RU,2021-03-01 23:03:00,55.8214,65.5842,-5.78,98,70,4.9
152,Nemuro,JP,2021-03-01 23:03:00,43.3236,145.575,29.61,99,100,24.18
153,Bhiwani,IN,2021-03-01 23:03:00,28.7833,76.1333,57.25,32,0,6.02
154,Cockburn Town,TC,2021-03-01 23:00:16,21.4612,-71.1419,76.03,71,45,17.96
155,Vila Franca Do Campo,PT,2021-03-01 23:03:01,37.7167,-25.4333,50.0,81,20,2.3
156,Luderitz,NA,2021-03-01 23:03:01,-26.6481,15.1594,68.72,71,0,9.17
157,Lodwar,KE,2021-03-01 23:02:15,3.1191,35.5973,86.04,32,0,6.51
158,Mahebourg,MU,2021-03-01 23:03:01,-20.4081,57.7,78.8,78,40,8.05
