City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Kaeo,NZ,-35.1,173.7833,59.0,97,5,1.81,clear sky
199,Grindavik,IS,63.8424,-22.4338,41.0,87,75,8.05,broken clouds
200,Yar-Sale,RU,66.8333,70.8333,10.72,95,100,7.54,overcast clouds
201,Souillac,MU,-20.5167,57.5167,75.2,88,20,6.91,few clouds
202,Iqaluit,CA,63.7506,-68.5145,23.0,50,90,11.5,overcast clouds
203,Tselinnoye,RU,53.0833,85.6667,14.88,91,87,6.78,overcast clouds
204,Itarema,BR,-2.9248,-39.9167,82.76,70,77,13.67,heavy intensity rain
205,Cidreira,BR,-30.1811,-50.2056,79.12,74,95,5.35,light rain
206,San Pedro,PH,14.35,121.0167,78.8,78,20,3.44,few clouds
207,Omboue,GA,-1.5746,9.2618,79.59,85,100,6.46,light rain
208,Lingao,CN,19.9103,109.6859,72.03,83,93,8.48,overcast clouds
209,Muros,ES,42.7762,-9.0603,55.99,85,100,3.0,overcast clouds
210,Half Moon Bay,US,37.4636,-122.4286,60.01,76,1,8.05,haze
211,Fortuna,US,40.5982,-124.1573,57.99,56,93,5.01,overcast clouds
212,Labuhan,ID,-6.8844,112.2051,75.22,91,100,0.89,light rain
213,Moramanga,MG,-18.9333,48.2,67.73,96,100,2.57,light rain
214,Alakurtti,RU,66.9672,30.3491,13.53,92,90,5.35,overcast clouds
215,Klaksvik,FO,62.2266,-6.589,33.8,75,75,8.05,broken clouds
216,Binga,ZW,-17.6203,27.3414,72.48,70,25,0.38,scattered clouds
217,Ancud,CL,-41.8697,-73.8203,73.4,46,0,8.05,clear sky
218,Cerrito,CO,6.8432,-72.694,78.8,61,40,6.91,scattered clouds
219,Stolin,BY,51.8912,26.846,35.42,88,100,7.47,overcast clouds
220,Cabo San Lucas,MX,22.8909,-109.9124,81.0,36,75,9.22,broken clouds
221,Arica,CL,-18.475,-70.3042,77.0,57,0,13.8,clear sky
222,Panguna,PG,-6.3164,155.4848,70.25,90,100,3.15,overcast clouds
223,Ratnapura,LK,6.6828,80.3992,72.27,95,3,1.86,clear sky
224,Kamenka,RU,51.3223,42.7678,37.0,83,50,14.0,scattered clouds
225,Ajra,IN,16.1167,74.2,70.3,44,13,0.38,few clouds
226,Port Augusta,AU,-32.5,137.7667,57.2,88,0,6.91,clear sky
227,Palmas,BR,-10.2128,-48.3603,87.8,62,40,5.75,scattered clouds
228,Kommunisticheskiy,RU,61.6789,64.4819,8.74,95,8,4.7,clear sky
229,Hue,VN,16.4667,107.6,71.6,94,40,3.44,mist
230,Armizonskoye,RU,55.9461,67.6736,15.03,95,86,13.0,overcast clouds
231,Nabire,ID,-3.3667,135.4833,75.11,89,100,3.44,overcast clouds
232,Rodrigues Alves,BR,-7.738,-72.6509,78.8,100,75,1.14,broken clouds
233,Sur,OM,22.5667,59.5289,77.54,43,0,5.3,clear sky
234,Charters Towers,AU,-20.1,146.2667,69.08,87,75,8.23,broken clouds
235,Mehran,IR,33.1222,46.1646,55.4,44,75,9.22,broken clouds
236,Georgetown,MY,5.4112,100.3354,80.6,89,20,2.3,few clouds
237,Mangrol,IN,21.1167,70.1167,75.56,56,0,8.99,clear sky
238,Filadelfia,US,39.9523,-75.1638,48.99,34,75,17.27,broken clouds
239,Soloneshnoye,RU,51.6544,84.3197,13.87,85,99,6.22,overcast clouds
240,Khakhea,BW,-24.6895,23.494,76.19,34,4,1.32,clear sky
241,Saint-Augustin,CA,51.226,-58.6502,23.65,97,100,20.58,snow
242,Coihaique,CL,-45.5752,-72.0662,77.0,36,0,8.05,clear sky
243,Tuatapere,NZ,-46.1333,167.6833,55.0,80,96,1.01,overcast clouds
244,Samarai,PG,-10.6167,150.6667,81.66,73,100,11.63,overcast clouds
245,Corumba,BR,-19.0092,-57.6533,84.2,74,75,6.91,light rain
246,Atikokan,CA,48.7555,-91.6216,35.1,84,97,3.44,overcast clouds
247,Sambava,MG,-14.2667,50.1667,78.94,84,45,2.37,light rain
248,Sitka,US,57.0531,-135.33,37.4,87,40,3.44,scattered clouds
249,Aguilas,ES,37.4063,-1.5829,55.99,79,30,1.01,scattered clouds
250,Wajir,KE,1.7471,40.0573,91.4,38,1,3.2,clear sky
251,Dingle,PH,10.9995,122.6711,74.68,93,18,7.54,few clouds
252,Novobiryusinskiy,RU,56.9578,97.7076,6.17,94,100,6.42,overcast clouds
253,Kavieng,PG,-2.5744,150.7967,82.6,78,100,10.45,overcast clouds
254,Cabedelo,BR,-6.9811,-34.8339,82.4,83,75,18.41,light rain
255,Houston,US,29.7633,-95.3633,73.0,32,40,12.66,scattered clouds
256,Nouadhibou,MR,20.931,-17.0347,66.2,68,100,21.85,sand
257,Almonte,ES,37.2647,-6.5167,61.0,67,40,4.61,scattered clouds
